"Jahr","StatZoneCd","StatZoneLang","QuarCd","QuarLang","KreisCd","ProjStatus","ProjStatusSort","EigentumsartSort","Eigentumsart","AnzWhg"
2008,"02102","Bellariastrasse","021","Wollishofen","2","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"02102","Bellariastrasse","021","Wollishofen","2","Im Bau","6703",1,"Öffentliche Hand",0
2008,"02102","Bellariastrasse","021","Wollishofen","2","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"02102","Bellariastrasse","021","Wollishofen","2","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"02102","Bellariastrasse","021","Wollishofen","2","Im Bau","6703",4,"Natürliche Personen",15
2008,"02102","Bellariastrasse","021","Wollishofen","2","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"02103","Muggenbühl","021","Wollishofen","2","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"02103","Muggenbühl","021","Wollishofen","2","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"02103","Muggenbühl","021","Wollishofen","2","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"02103","Muggenbühl","021","Wollishofen","2","Bewilligt","6702",4,"Natürliche Personen",0
2008,"02103","Muggenbühl","021","Wollishofen","2","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"02103","Muggenbühl","021","Wollishofen","2","Im Bau","6703",1,"Öffentliche Hand",0
2008,"02103","Muggenbühl","021","Wollishofen","2","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"02103","Muggenbühl","021","Wollishofen","2","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"02103","Muggenbühl","021","Wollishofen","2","Im Bau","6703",4,"Natürliche Personen",0
2008,"02103","Muggenbühl","021","Wollishofen","2","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"02104","Morgental","021","Wollishofen","2","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"02104","Morgental","021","Wollishofen","2","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"02104","Morgental","021","Wollishofen","2","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"02104","Morgental","021","Wollishofen","2","Bewilligt","6702",4,"Natürliche Personen",0
2008,"02104","Morgental","021","Wollishofen","2","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"02104","Morgental","021","Wollishofen","2","Im Bau","6703",1,"Öffentliche Hand",0
2008,"02104","Morgental","021","Wollishofen","2","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"02104","Morgental","021","Wollishofen","2","Im Bau","6703",3,"Übrige private Gesellschaften",50
2008,"02104","Morgental","021","Wollishofen","2","Im Bau","6703",4,"Natürliche Personen",6
2008,"02104","Morgental","021","Wollishofen","2","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"02105","Manegg","021","Wollishofen","2","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"02105","Manegg","021","Wollishofen","2","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"02105","Manegg","021","Wollishofen","2","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"02105","Manegg","021","Wollishofen","2","Bewilligt","6702",4,"Natürliche Personen",0
2008,"02105","Manegg","021","Wollishofen","2","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"02105","Manegg","021","Wollishofen","2","Im Bau","6703",1,"Öffentliche Hand",0
2008,"02105","Manegg","021","Wollishofen","2","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"02105","Manegg","021","Wollishofen","2","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"02105","Manegg","021","Wollishofen","2","Im Bau","6703",4,"Natürliche Personen",0
2008,"02105","Manegg","021","Wollishofen","2","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"02106","Waschanstalt","021","Wollishofen","2","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"02106","Waschanstalt","021","Wollishofen","2","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"02106","Waschanstalt","021","Wollishofen","2","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"02106","Waschanstalt","021","Wollishofen","2","Bewilligt","6702",4,"Natürliche Personen",0
2008,"02106","Waschanstalt","021","Wollishofen","2","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"02106","Waschanstalt","021","Wollishofen","2","Im Bau","6703",1,"Öffentliche Hand",0
2008,"02106","Waschanstalt","021","Wollishofen","2","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"02106","Waschanstalt","021","Wollishofen","2","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"02106","Waschanstalt","021","Wollishofen","2","Im Bau","6703",4,"Natürliche Personen",5
2008,"02106","Waschanstalt","021","Wollishofen","2","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"02107","Auf der Egg","021","Wollishofen","2","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"02107","Auf der Egg","021","Wollishofen","2","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"02107","Auf der Egg","021","Wollishofen","2","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"02107","Auf der Egg","021","Wollishofen","2","Bewilligt","6702",4,"Natürliche Personen",0
2008,"02107","Auf der Egg","021","Wollishofen","2","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"02107","Auf der Egg","021","Wollishofen","2","Im Bau","6703",1,"Öffentliche Hand",0
2008,"02107","Auf der Egg","021","Wollishofen","2","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"02107","Auf der Egg","021","Wollishofen","2","Im Bau","6703",3,"Übrige private Gesellschaften",0
2008,"02107","Auf der Egg","021","Wollishofen","2","Im Bau","6703",4,"Natürliche Personen",0
2008,"02107","Auf der Egg","021","Wollishofen","2","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"02108","Kalchbühl","021","Wollishofen","2","Bewilligt","6702",1,"Öffentliche Hand",0
2008,"02108","Kalchbühl","021","Wollishofen","2","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2008,"02108","Kalchbühl","021","Wollishofen","2","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2008,"02108","Kalchbühl","021","Wollishofen","2","Bewilligt","6702",4,"Natürliche Personen",0
2008,"02108","Kalchbühl","021","Wollishofen","2","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2008,"02108","Kalchbühl","021","Wollishofen","2","Im Bau","6703",1,"Öffentliche Hand",0
2008,"02108","Kalchbühl","021","Wollishofen","2","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2008,"02108","Kalchbühl","021","Wollishofen","2","Im Bau","6703",3,"Übrige private Gesellschaften",9
2008,"02108","Kalchbühl","021","Wollishofen","2","Im Bau","6703",4,"Natürliche Personen",0
2008,"02108","Kalchbühl","021","Wollishofen","2","Im Bau","6703",5,"Im Stockwerkeigentum",0
2008,"02109","Entlisberg","021","Wollishofen","2","Bewilligt","6702",1,"Öffentliche Hand",0
